doc_id,dataset,split,img_width,img_height,n_tokens,n_boxes,ocr_char_count,ocr_word_count,company_present,date_present,address_present,total_present,company_len,date_len,address_len,total_len,company_in_ocr,date_in_ocr,address_in_ocr,total_in_ocr,exact_total_matches,n_amount_like_tokens,n_date_like_tokens,has_total_anchor,has_date_anchor,has_cash_anchor,token_box_ratio,amount_token_ratio,date_token_ratio,avg_token_len,avg_words_per_token,anchors_present_count,fields_present_count,all_fields_present,any_field_missing,ocr_is_empty,aspect_ratio,company_hard,date_hard,address_hard,total_hard,low_ocr_support,proxy_risk_score,proxy_verify,proxy_high_risk
X00016469612,SROIE,train,463.0,1013.0,44,44,441,84,True,True,True,True,31,10,70,4,False,True,True,True,3,7,0,True,True,True,1.0,0.1590909090909091,0.0,10.022727272727273,1.9090909090909092,3,4,True,False,False,0.4570582428430405,True,False,False,False,False,1,False,False
X00016469619,SROIE,train,439.0,1004.0,48,48,637,102,True,True,True,True,22,10,63,5,True,True,True,True,1,11,0,True,False,True,1.0,0.22916666666666666,0.0,13.270833333333334,2.125,2,4,True,False,False,0.43725099601593626,False,False,False,False,False,0,False,False
X00016469620,SROIE,train,459.0,949.0,54,54,668,121,True,True,True,True,25,8,118,5,False,True,True,True,0,12,0,True,False,True,1.0,0.2222222222222222,0.0,12.37037037037037,2.240740740740741,2,4,True,False,False,0.48366701791359323,True,False,False,True,False,2,True,False
X00016469622,SROIE,train,461.0,933.0,60,60,525,105,True,True,True,True,19,10,44,5,True,True,True,True,1,16,1,True,True,True,1.0,0.26666666666666666,0.016666666666666666,8.75,1.75,3,4,True,False,False,0.4941050375133976,False,False,False,False,False,0,False,False
X00016469623,SROIE,train,463.0,1026.0,61,61,735,142,True,True,True,True,21,8,116,5,True,True,True,True,0,15,0,True,False,True,1.0,0.2459016393442623,0.0,12.049180327868852,2.3278688524590163,2,4,True,False,False,0.4512670565302144,False,False,False,True,False,1,False,False
X00016469669,SROIE,train,463.0,605.0,35,35,340,62,True,True,True,True,14,10,70,5,True,True,True,True,3,8,0,True,True,True,1.0,0.22857142857142856,0.0,9.714285714285714,1.7714285714285714,3,4,True,False,False,0.7652892561983471,False,False,False,False,False,0,False,False
X00016469672,SROIE,train,457.0,1170.0,93,93,823,156,True,True,True,True,30,10,61,6,True,True,True,True,4,41,0,True,True,True,1.0,0.44086021505376344,0.0,8.849462365591398,1.6774193548387097,3,4,True,False,False,0.3905982905982906,False,False,False,False,False,0,False,False
X00016469676,SROIE,train,463.0,797.0,28,28,408,67,True,True,True,True,38,10,60,5,True,True,True,True,5,8,0,True,False,True,1.0,0.2857142857142857,0.0,14.571428571428571,2.392857142857143,2,4,True,False,False,0.5809284818067754,False,False,False,False,False,0,False,False
X51005200938,SROIE,train,992.0,1403.0,76,76,816,157,True,True,True,True,20,10,64,6,True,True,True,True,2,28,0,True,True,True,1.0,0.3684210526315789,0.0,10.736842105263158,2.0657894736842106,3,4,True,False,False,0.707056307911618,False,False,False,False,False,0,False,False
X51005230617,SROIE,train,604.0,1716.0,43,43,739,118,True,True,True,True,32,10,88,5,True,True,True,True,2,8,0,True,False,True,1.0,0.18604651162790697,0.0,17.186046511627907,2.744186046511628,2,4,True,False,False,0.351981351981352,False,False,False,False,False,0,False,False
X51005255805,SROIE,train,873.0,1656.0,51,51,527,118,True,True,True,True,18,10,49,5,True,True,True,True,0,6,1,True,False,True,1.0,0.11764705882352941,0.0196078431372549,10.333333333333334,2.3137254901960786,2,4,True,False,False,0.5271739130434783,False,False,False,True,False,1,False,False
X51005268200,SROIE,train,752.0,2214.0,58,58,720,131,True,True,True,True,49,10,80,5,True,True,True,True,4,13,0,True,True,True,1.0,0.22413793103448276,0.0,12.413793103448276,2.2586206896551726,3,4,True,False,False,0.33965672990063234,False,False,False,False,False,0,False,False
X51005268262,SROIE,train,747.0,1412.0,47,47,537,102,True,True,True,True,33,10,98,5,True,True,True,True,5,11,0,True,True,True,1.0,0.23404255319148937,0.0,11.425531914893616,2.1702127659574466,3,4,True,False,False,0.5290368271954674,False,False,False,False,False,0,False,False
X51005268400,SROIE,train,807.0,1390.0,60,60,435,95,True,True,True,True,21,10,71,5,True,True,False,True,5,13,0,True,True,True,1.0,0.21666666666666667,0.0,7.25,1.5833333333333333,3,4,True,False,False,0.5805755395683453,False,False,True,False,False,1,False,False
X51005268472,SROIE,train,780.0,2044.0,119,119,978,189,True,True,True,True,9,10,65,5,True,True,True,True,1,52,0,True,True,True,1.0,0.4369747899159664,0.0,8.218487394957982,1.588235294117647,3,4,True,False,False,0.3816046966731898,False,False,False,False,False,0,False,False
X51005301659,SROIE,train,747.0,1412.0,44,44,459,85,True,True,True,True,33,10,98,5,True,True,True,True,5,11,0,True,True,True,1.0,0.25,0.0,10.431818181818182,1.9318181818181819,3,4,True,False,False,0.5290368271954674,False,False,False,False,False,0,False,False
X51005301661,SROIE,train,818.0,1924.0,82,82,825,172,True,True,True,True,25,10,78,5,True,True,True,True,2,14,0,True,True,True,1.0,0.17073170731707318,0.0,10.060975609756097,2.097560975609756,3,4,True,False,False,0.42515592515592515,False,False,False,False,False,0,False,False
X51005301667,SROIE,train,835.0,2333.0,76,76,841,171,True,True,True,True,25,10,78,5,True,True,True,True,2,12,0,True,True,True,1.0,0.15789473684210525,0.0,11.06578947368421,2.25,3,4,True,False,False,0.3579082726103729,False,False,False,False,False,0,False,False
X51005303661,SROIE,train,818.0,1924.0,75,75,832,172,True,True,True,True,25,10,77,5,True,True,True,True,2,12,0,True,True,True,1.0,0.16,0.0,11.093333333333334,2.2933333333333334,3,4,True,False,False,0.42515592515592515,False,False,False,False,False,0,False,False
X51005306399,SROIE,train,447.0,915.0,46,46,470,94,True,True,True,True,24,8,45,5,True,True,True,True,3,6,1,True,True,False,1.0,0.13043478260869565,0.021739130434782608,10.217391304347826,2.0434782608695654,2,4,True,False,False,0.4885245901639344,False,False,False,False,False,0,False,False
X51005337872,SROIE,train,623.0,1255.0,59,59,547,104,True,True,True,True,30,10,44,5,True,True,True,True,1,17,1,True,True,True,1.0,0.288135593220339,0.01694915254237288,9.271186440677965,1.7627118644067796,3,4,True,False,False,0.4964143426294821,False,False,False,False,False,0,False,False
X51005361883,SROIE,train,993.0,2481.0,68,68,622,128,True,True,True,True,27,10,64,4,True,True,True,True,2,20,0,True,True,True,1.0,0.29411764705882354,0.0,9.147058823529411,1.8823529411764706,3,4,True,False,False,0.40024183796856105,False,False,False,False,False,0,False,False
X51005361895,SROIE,train,953.0,1629.0,41,41,486,88,True,True,True,True,16,10,69,4,True,True,True,True,3,10,0,True,False,True,1.0,0.24390243902439024,0.0,11.853658536585366,2.1463414634146343,2,4,True,False,False,0.5850214855739717,False,False,False,False,False,0,False,False
X51005361897,SROIE,train,2481.0,3508.0,62,62,602,118,True,True,True,True,27,10,63,5,True,True,True,True,2,15,0,True,True,True,1.0,0.24193548387096775,0.0,9.709677419354838,1.903225806451613,3,4,True,False,False,0.7072405929304447,False,False,False,False,False,0,False,False
X51005361898,SROIE,train,2481.0,3508.0,66,66,646,126,True,True,True,True,27,10,62,5,True,True,False,True,2,17,0,True,True,True,1.0,0.25757575757575757,0.0,9.787878787878787,1.9090909090909092,3,4,True,False,False,0.7072405929304447,False,False,True,False,False,1,False,False
X51005361900(1),SROIE,train,2481.0,3508.0,71,71,668,136,True,True,True,True,27,10,61,5,True,True,True,True,2,19,0,True,True,True,1.0,0.2676056338028169,0.0,9.408450704225352,1.9154929577464788,3,4,True,False,False,0.7072405929304447,False,False,False,False,False,0,False,False
X51005361900,SROIE,train,2481.0,3508.0,71,71,668,136,True,True,True,True,27,10,61,5,True,True,True,True,2,19,0,True,True,True,1.0,0.2676056338028169,0.0,9.408450704225352,1.9154929577464788,3,4,True,False,False,0.7072405929304447,False,False,False,False,False,0,False,False
X51005361907(1),SROIE,train,1654.0,2339.0,94,94,926,180,True,True,True,True,27,10,64,6,False,True,True,True,2,33,0,True,True,True,1.0,0.35106382978723405,0.0,9.851063829787234,1.9148936170212767,3,4,True,False,False,0.7071398033347585,True,False,False,False,False,1,False,False
X51005361907,SROIE,train,1654.0,2339.0,94,94,926,180,True,True,True,True,27,10,64,6,False,True,True,True,2,33,0,True,True,True,1.0,0.35106382978723405,0.0,9.851063829787234,1.9148936170212767,3,4,True,False,False,0.7071398033347585,True,False,False,False,False,1,False,False
X51005361946,SROIE,train,1654.0,2339.0,48,48,631,119,True,True,True,True,22,8,96,5,True,True,True,True,0,7,0,True,False,True,1.0,0.14583333333333334,0.0,13.145833333333334,2.4791666666666665,2,4,True,False,False,0.7071398033347585,False,False,False,True,False,1,False,False
X51005361950(1),SROIE,train,949.0,1349.0,28,28,407,72,True,True,True,True,17,8,74,4,True,True,True,True,2,4,1,True,False,True,1.0,0.14285714285714285,0.03571428571428571,14.535714285714286,2.5714285714285716,2,4,True,False,False,0.7034840622683469,False,False,False,False,False,0,False,False
X51005361950,SROIE,train,949.0,1349.0,28,28,407,72,True,True,True,True,17,8,74,4,True,True,True,True,2,4,1,True,False,True,1.0,0.14285714285714285,0.03571428571428571,14.535714285714286,2.5714285714285716,2,4,True,False,False,0.7034840622683469,False,False,False,False,False,0,False,False
X51005365179(1),SROIE,train,748.0,1338.0,53,53,560,117,True,True,True,True,25,8,59,5,True,True,True,True,3,12,0,True,True,True,1.0,0.22641509433962265,0.0,10.566037735849056,2.207547169811321,3,4,True,False,False,0.5590433482810164,False,False,False,False,False,0,False,False
X51005365179,SROIE,train,748.0,1338.0,53,53,560,117,True,True,True,True,25,8,59,5,True,True,True,True,3,12,0,True,True,True,1.0,0.22641509433962265,0.0,10.566037735849056,2.207547169811321,3,4,True,False,False,0.5590433482810164,False,False,False,False,False,0,False,False
X51005433492(1),SROIE,train,1080.0,1527.0,0,0,0,0,False,False,False,False,0,0,0,0,False,False,False,False,0,0,0,False,False,False,0.0,0.0,0.0,0.0,0.0,0,0,False,True,True,0.7072691552062869,True,True,True,True,True,5,True,True
X51005433492,SROIE,train,1080.0,1527.0,39,39,527,87,True,True,True,True,30,11,73,5,True,True,True,True,1,4,0,True,False,True,1.0,0.10256410256410256,0.0,13.512820512820513,2.230769230769231,2,4,True,False,False,0.7072691552062869,False,False,False,False,False,0,False,False
X51005433494,SROIE,train,1080.0,1527.0,39,39,556,98,True,True,True,True,16,10,81,5,True,True,False,True,3,9,0,True,False,True,1.0,0.23076923076923078,0.0,14.256410256410257,2.5128205128205128,2,4,True,False,False,0.7072691552062869,False,False,True,False,False,1,False,False
X51005433514,SROIE,train,1080.0,1527.0,39,39,541,90,True,True,True,True,30,11,73,5,True,True,True,True,1,4,0,True,False,True,1.0,0.10256410256410256,0.0,13.871794871794872,2.3076923076923075,2,4,True,False,False,0.7072691552062869,False,False,False,False,False,0,False,False
X51005433522,SROIE,train,1080.0,1527.0,39,39,541,90,True,True,True,False,30,11,73,0,True,True,True,False,0,4,0,True,False,True,1.0,0.10256410256410256,0.0,13.871794871794872,2.3076923076923075,2,3,False,True,False,0.7072691552062869,False,False,False,True,False,1,False,False
X51005433533,SROIE,train,1080.0,1527.0,107,107,1108,223,True,True,True,True,20,10,64,6,True,True,True,True,2,46,0,True,True,True,1.0,0.42990654205607476,0.0,10.355140186915888,2.0841121495327104,3,4,True,False,False,0.7072691552062869,False,False,False,False,False,0,False,False
X51005433538,SROIE,train,1080.0,1519.0,39,39,541,90,True,True,True,True,30,11,73,5,True,True,True,True,1,4,0,True,False,True,1.0,0.10256410256410256,0.0,13.871794871794872,2.3076923076923075,2,4,True,False,False,0.7109940750493746,False,False,False,False,False,0,False,False
X51005433541,SROIE,train,1080.0,1527.0,39,39,525,85,True,True,True,True,30,11,73,5,True,True,True,True,1,4,0,True,False,True,1.0,0.10256410256410256,0.0,13.461538461538462,2.1794871794871793,2,4,True,False,False,0.7072691552062869,False,False,False,False,False,0,False,False
