field_name,epoch,train_loss,val_loss
company,1.0,0.8052359039186593,0.36953917145729065
company,2.0,0.28739235216722875,0.20855693519115448
company,3.0,0.20911099852472753,0.19400690495967865
company,4.0,0.1865406532244005,0.17889566719532013
company,5.0,0.17215617048840987,0.1721459925174713
company,6.0,0.1619712111986807,0.16698597371578217
company,7.0,0.14997643260429344,0.1688767820596695
company,8.0,0.14797131285888737,0.17292940616607666
company,9.0,0.14025627137404117,0.17149396240711212
company,10.0,0.1373300683984609,0.16572149097919464
company,11.0,0.1341415039367146,0.1623552143573761
company,12.0,0.1265476010477828,0.16527226567268372
company,13.0,0.12817598395206758,0.16669242084026337
company,14.0,0.12868133871783352,0.15947353839874268
company,15.0,0.12070874936260419,0.16177578270435333
company,16.0,0.11421910485805506,0.15519513189792633
company,17.0,0.11826214195974433,0.1622064858675003
company,18.0,0.1146625711445064,0.1585371345281601
company,19.0,0.1154506574535504,0.1610461324453354
company,20.0,0.11256861224162763,0.15742941200733185
company,21.0,0.10392937295337937,0.16212862730026245
company,22.0,0.10826080962491605,0.15247812867164612
company,23.0,0.10919726716482857,0.14522546529769897
company,24.0,0.10080130157256093,0.15655875205993652
company,25.0,0.10368279875079288,0.1625593900680542
date,1.0,0.3855367083565082,0.40984946489334106
date,2.0,0.3634517202579897,0.3870317339897156
date,3.0,0.3404283993384417,0.3637225031852722
date,4.0,0.3174539808743919,0.33669301867485046
date,5.0,0.28847844440952625,0.30585232377052307
date,6.0,0.2555621016259287,0.271306574344635
date,7.0,0.22488359427140428,0.23563936352729797
date,8.0,0.19388949049064536,0.2014496773481369
date,9.0,0.1693195393856834,0.17258933186531067
date,10.0,0.14966767835461237,0.1500919759273529
date,11.0,0.1310845507905374,0.13175928592681885
date,12.0,0.11870042246346381,0.11624930799007416
date,13.0,0.1054487384027905,0.10405471920967102
date,14.0,0.09547509484820896,0.09292903542518616
date,15.0,0.08334583492060892,0.0830502137541771
date,16.0,0.07814243542992212,0.07494314014911652
date,17.0,0.07019245057226786,0.06823724508285522
date,18.0,0.06319865321411806,0.06209501251578331
date,19.0,0.05931811183204059,0.05699127912521362
date,20.0,0.05596604235713778,0.05266892910003662
date,21.0,0.04894465963581419,0.04896409809589386
date,22.0,0.04702262688988174,0.04620525240898132
date,23.0,0.042455503987331014,0.04384483024477959
date,24.0,0.041349557146819586,0.04141825810074806
date,25.0,0.03903250523836784,0.03965536877512932
address,1.0,0.5301684620937982,0.28421300649642944
address,2.0,0.28114059052763263,0.24805690348148346
address,3.0,0.2484500583529482,0.2221776843070984
address,4.0,0.2320456067500094,0.20668058097362518
address,5.0,0.21492207924507203,0.19038596749305725
address,6.0,0.20905932178792652,0.17714184522628784
address,7.0,0.19621867789871092,0.1725892573595047
address,8.0,0.18731958180005523,0.17160074412822723
address,9.0,0.18324089953144396,0.16595464944839478
address,10.0,0.178887522913596,0.1566813886165619
address,11.0,0.1716497196751723,0.15298715233802795
address,12.0,0.16738969551485383,0.15466155111789703
address,13.0,0.16234841157267724,0.1496732383966446
address,14.0,0.15960337827394164,0.14483848214149475
address,15.0,0.1572728993693036,0.14369800686836243
address,16.0,0.15466624063876108,0.144198477268219
address,17.0,0.1504299597309214,0.13704386353492737
address,18.0,0.14881058302789996,0.1488351672887802
address,19.0,0.14485925597381608,0.13680407404899597
address,20.0,0.14271365898066415,0.12763378024101257
address,21.0,0.13930323793824903,0.13252286612987518
address,22.0,0.13755179778780485,0.13889971375465393
address,23.0,0.14310544268432612,0.12696686387062073
address,24.0,0.13735782093371418,0.1289159655570984
address,25.0,0.1324277897595595,0.1263609528541565
total,1.0,1.0566149285884814,1.0234174728393555
total,2.0,0.9381111850600398,0.8723691701889038
total,3.0,0.8434085659966485,0.7805525064468384
total,4.0,0.8055579359425128,0.7599714994430542
total,5.0,0.7882269609434385,0.7512030005455017
total,6.0,0.7761588213238053,0.7200864553451538
total,7.0,0.7669134980984165,0.7269461154937744
total,8.0,0.7572964896705061,0.7192660570144653
total,9.0,0.7500195228394118,0.703116238117218
total,10.0,0.7340662633379921,0.6967862844467163
total,11.0,0.7326142957169162,0.6961761116981506
total,12.0,0.7192214486423034,0.6880105137825012
total,13.0,0.7131026769893002,0.6895857453346252
total,14.0,0.7121558513723519,0.6632102131843567
total,15.0,0.71335527996309,0.6781022548675537
total,16.0,0.7037447945189574,0.6636466979980469
total,17.0,0.7031662630177509,0.666293740272522
total,18.0,0.6969676234552753,0.6619159579277039
total,19.0,0.6951017653559579,0.6480972170829773
total,20.0,0.6887714674684465,0.6648448705673218
total,21.0,0.6889303060919921,0.6555774211883545
total,22.0,0.6848246670644491,0.6475130319595337
total,23.0,0.6748487034947227,0.649761974811554
total,24.0,0.6774995169518726,0.6473893523216248
total,25.0,0.6785862796061612,0.6403682231903076
